id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tags
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,87,2020s,euphoric;uplifting;summery
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,74,2020s,nostalgic;calm;dreamy
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,68,2010s,aggressive;powerful;driving
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,71,2020s,nostalgic;calm;peaceful
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,82,2010s,euphoric;powerful;driving
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,55,2020s,dreamy;peaceful;cosmic
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,63,2010s,nostalgic;romantic;calm
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,70,2020s,nostalgic;dark;cinematic
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,69,2020s,calm;dreamy;peaceful
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,78,2010s,euphoric;uplifting;romantic
11,Metal Rage,Thunder Strike,metal,intense,0.96,168,0.35,0.71,0.08,65,2010s,aggressive;powerful;dark
12,Jazz Nights,Blue Horizon,jazz,relaxed,0.45,95,0.68,0.52,0.88,61,2000s,nostalgic;romantic;calm
13,Electric Dreams,Synth Wave,electronic,energetic,0.89,128,0.72,0.85,0.12,80,2020s,euphoric;driving;cinematic
14,Acoustic Soul,Folk Whispers,acoustic,happy,0.58,105,0.79,0.65,0.94,59,2010s,uplifting;romantic;peaceful
15,Classical Peace,Orchestra,classical,focused,0.32,88,0.67,0.28,0.97,52,2000s,calm;peaceful;nostalgic
16,Reggae Vibes,Island Root,reggae,chill,0.52,96,0.77,0.68,0.81,66,2010s,uplifting;calm;summery
17,Urban Hustle,Beat King,hip-hop,intense,0.87,115,0.58,0.79,0.24,84,2020s,aggressive;driving;powerful
18,Country Roads,Rustic Echo,country,happy,0.65,112,0.84,0.72,0.76,60,2010s,nostalgic;uplifting;summery
19,Neon Shadows,Cyberpunk Echo,synthwave,energetic,0.80,116,0.62,0.76,0.19,72,2020s,cinematic;dark;driving
20,Blues Midnight,Jazz Collective,jazz,moody,0.48,92,0.55,0.51,0.87,58,2000s,nostalgic;dark;romantic
21,Void Screamer,Metal Apocalypse,metal,aggressive,0.95,175,0.28,0.68,0.12,62,2010s,aggressive;dark;powerful
22,Lofi Study,Café Beats,lofi,focused,0.38,75,0.57,0.59,0.84,67,2020s,calm;dreamy;nostalgic
23,Acoustic Summer,Folk Tales,acoustic,happy,0.62,108,0.81,0.68,0.91,57,2010s,uplifting;summery;peaceful
24,Deep House Pulse,Electronic Collective,electronic,energetic,0.87,126,0.68,0.82,0.16,76,2020s,euphoric;driving;cinematic
25,Lo-Fi Rain,Chill Sessions,lofi,chill,0.41,82,0.63,0.61,0.79,70,2020s,calm;dreamy;nostalgic
26,Symphony Storm,Orchestra Dynamics,classical,intense,0.71,130,0.64,0.45,0.95,54,2000s,powerful;cinematic;dark
